Depth_modeled,PAR_modeled,Light_measured,PAR_modeled_mean_1_20m,Light_measured_mean_1_20m,Kd_modeled_1_20m,Kd_measured_1_20m,Fluo_measured_mean_1_20m,Tag_ID,Profile,Satellite,N_VALID_PIXELS,CV_RRS,CV_KD490,CV_PAR,SolarAlt,Lat,Lon,Bathy,DOY
80.0,0.1771,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
85.0,0.1257,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
90.0,0.0875,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
95.0,0.0687,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
100.0,0.0537,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
105.0,0.0386,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
110.0,0.0297,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
115.0,0.0232,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
120.0,0.0144,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
125.0,0.0144,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
130.0,0.0112,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
135.0,0.0103,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
140.0,0.0076,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
145.0,0.006,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
150.0,0.0058,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
155.0,0.0047,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
160.0,0.0045,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
165.0,0.004,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
170.0,0.0039,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
